ID,Year,Authors,Date,Completion,Study site,Latitude,Longitude,Lat zone,Ocean Basin,Study environment,Age of reef,Age category,Substrate type,Rugosity,Vertical relief,Openings,Material type,Shape of reef,General Reef Type,Specific Reef Type,Experimental group,N,Size of reef,Size of reef units,Control pre or post AR,Size of plot ,Plot size units,Volume of plot,Depth,Depth units,Distance offshore,Distance offshore units,Purpose of reef,Method of data collection,Month,Season,Averageable,Duration,Fish Abundance,Abundance units,Fish Biomass,Biomass units,Fish Species Richness,Species Richness units,Paper conclusion,Number of metrics
3,2022,,,Y,,-8.11275,115.29429,,South Pacific,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,10,m2,100, 5-10,m,NA,NA,Habitat,Underwater video census,NA,NA,,,94.9395,number of fish,NA,NA,4.1195,number of species,,2
3,2022,,,Y,,-8.11275,115.29429,,South Pacific,Offshore,NA,Established,Sand,NA,NA,NA,Natural,Reef,Natural reef,Natural reef,NA,3,NA,m3,NA,10,m2,100, 5-10,m,NA,NA,Habitat,Underwater video census,NA,NA,,,66.16314,number of fish,NA,NA,26.8012,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,8,0,m3,NA,19.63495,m2,19.63495,15.5,m,1,km,Research,Underwater visual census,June,,X,,0.923564958,number of fish,,,0.839813385,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,8,0,m3,NA,19.63495,m2,19.63495,15.5,m,1,km,Research,Underwater visual census,Aurust,,X,,2.643310708,number of fish,,,0.895801039,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,8,0,m3,NA,19.63495,m2,19.63495,15.5,m,1,km,Research,Underwater visual census,October,,X,,0.828025012,number of fish,,,0.379471138,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,6,0,m3,NA,19.63495,m2,19.63495,15.5,m,1,km,Research,Underwater visual census,May,,X,,0.923564958,number of fish,,,0.83359264,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,Low vertical relief,No openings,Concrete,Dome,Designed reefs,Roof tiles on concrete,Experimental,8,0.000950332,m3,NA,19.63495,m2,39.26991,15.5,m,1,km,Research,Underwater visual census,June,,X,,4.426749756,number of fish,,,2.003110491,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,Low vertical relief,No openings,Concrete,Dome,Designed reefs,Roof tiles on concrete,Experimental,8,0.000950332,m3,NA,19.63495,m2,39.26991,15.5,m,1,km,Research,Underwater visual census,August,,X,,10.79617788,number of fish,,,2.388802374,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,Low vertical relief,No openings,Concrete,Dome,Designed reefs,Roof tiles on concrete,Experimental,8,0.000950332,m3,NA,19.63495,m2,39.26991,15.5,m,1,km,Research,Underwater visual census,October,,X,,13.78980901,number of fish,,,2.506998427,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,Low vertical relief,No openings,Concrete,Dome,Designed reefs,Roof tiles on concrete,Experimental,6,0.000950332,m3,NA,19.63495,m2,39.26991,15.5,m,1,km,Research,Underwater visual census,May,,X,,4.522292132,number of fish,,,2.681181896,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,1m pole,Experimental,8,0.00950332,m3,NA,19.63495,m2,58.90486,15.5,m,1,km,Research,Underwater visual census,June,,X,,4.77707018,number of fish,,,1.760497641,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,1m pole,Experimental,8,0.00950332,m3,NA,19.63495,m2,58.90486,15.5,m,1,km,Research,Underwater visual census,August,,X,,10.28662421,number of fish,,,2.245723104,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,1m pole,Experimental,8,0.00950332,m3,NA,19.63495,m2,58.90486,15.5,m,1,km,Research,Underwater visual census,October,,X,,19.26751457,number of fish,,,2.892690548,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,1m pole,Experimental,6,0.00950332,m3,NA,19.63495,m2,58.90486,15.5,m,1,km,Research,Underwater visual census,May,,X,,7.866241257,number of fish,,,2.513219172,number of species,,2
4,2006,"Wihelmsson, Yahya, Öhman",2/21/2023,Y,"Långholmen, Sweden",58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,3m pole,Experimental,8,0.02851,m3,NA,19.63495,m2,78.53982,15.5,m,1,km,Research,Underwater visual census,June,,X,,5.764330864,number of fish,,,2.003110491,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,3m pole,Experimental,8,0.02851,m3,NA,19.63495,m2,78.53982,15.5,m,1,km,Research,Underwater visual census,August,,X,,12.61146479,number of fish,,,2.506998427,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,3m pole,Experimental,8,0.02851,m3,NA,19.63495,m2,78.53982,15.5,m,1,km,Research,Underwater visual census,October,,X,,16.78343893,number of fish,,,2.749611278,number of species,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,3m pole,Experimental,6,0.02851,m3,NA,19.63495,m2,78.53982,15.5,m,1,km,Research,Underwater visual census,May,,X,,8.343948275,number of fish,,,2.992223891,number of species,,2
5,2022,"Song, Wang et al",2/27/2023,N,"Yellow Sea, China",37.32,122.1,,North Pacific,Offshore,NA,Established,Silt/mud,High rugosity,High vertical relief,With openings,Concrete,Triangle and cube,Designed reefs,Concrete modules,Experimental,11,22,m3,NA,7.7,m2,3.773,25,m,1.5,km,Fishery management,Trap net,,,,,13.137,individuals/unit*day,981.707,kg/unit*day,5.153,species/unit*day,"All three types tested enhanced diversity, and concrete reefs generall improve abundance and richness most",3
5,2022,,,N,,37.32,122.1,,North Pacific,Offshore,NA,Established,Silt/mud,High rugosity,Low vertical relief,No openings,Rock,Sphere,Rubble and rocks,Rock pile,Experimental,11,3.1,m3,NA,7.7,m2,3.773,25,m,1.5,km,Fishery management,Trap net,,,,,10.621,individuals/unit*day,650.915,kg/unit*day,4.54,species/unit*day,,3
5,2022,,,N,,37.32,122.1,,North Pacific,Offshore,NA,Established,Silt/mud,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Ship reef,Experimental,11,48,m3,NA,7.7,m2,3.773,25,m,1.5,km,Fishery management,Trap net,,,,,11.739,individuals/unit*day,1184.451,kg/unit*day,4.571,species/unit*day,,3
5,2022,,,N,,37.32,122.1,,North Pacific,Offshore,NA,Established,Silt/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,33,0,m3,NA,7.7,m2,3.773,25,m,1.5,km,NA,Trap net,,,,,7.64,individuals/unit*day,320.122,kg/unit*day,3.436,species/unit*day,,3
6,2022,"Nguyen, Tran, et al",3/25/2023,Y,"Quang Nam, Vietnam",15.52,108.7,,North Pacific,Offshore,1,New,Sand/rock,Low rugosity,High vertical relief,With openings,Concrete,Cylinder,Designed reefs,Cylinder with holes,Experimental,500,"3,392.92",m3,Post AR,150,m2,7500,20,m,1,km,Restoration,Underwater visual census,NA,NA,,,28306,number of fish,NA,NA,193,number of species,,2
6,2022,,,Y,,15.52,108.7,,North Pacific,Offshore,2,New,Sand/rock,Low rugosity,High vertical relief,With openings,Concrete,Cylinder,Designed reefs,Cylinder with holes,Experimental,500,"3,392.92",m3,Post AR,150,m2,7500,20,m,1,km,Restoration,Underwater visual census,NA,NA,,,60524,number of fish,NA,NA,237,number of species,,2
6,2022,,,Y,,15.52,108.7,,North Pacific,Offshore,NA,Established,Sand/rock,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,Pre AR,150,m2,7500,20,m,1,km,Natural,Underwater visual census,NA,NA,,,1898,number of fish,NA,NA,44,number of species,,2
7,2021,"Harvey, Watts, Saunders, et al",4/1/2023,Y,"Gulf of Thailand, Thailand",9.7121,101.343,,North Pacific,Offshore,11.625,Established,Silt-clay,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,8,14669.25,m3,NA,415.125,m2,160.3,68.9875,m,150,km,Oil rig,Video sampling,NA,NA,,,15791,number of fish,3993.08,kg,43,number of species,90% of the fish observed were reef fish even though the nearest reef is 100 km away,3
7,2021,,,Y,,9.7121,101.343,,North Pacific,Offshore,NA,Established,Silt-clay,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,5,0,m3,NA,NA,NA,160.3,70.48,m,150,km,Natural,Video sampling,NA,NA,,,66,number of fish,10.66,kg,5,number of species,,3
8,2017,"Mills, Hammer, et al",4/24/2023,Y,"Port Phillip Bay, Australia",-38.1732,144.8731,,South Pacific,Offshore,0.166666667,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls ,Experimental,96,66.294,m3,NA,50,m2,150,11,m,2,km,Research,Transect,July,,X,,,,,,25.96010169,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,3,0,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,July,,X,,,,,,21.92020053,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,0.5,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,96,66.294,m3,NA,50,m2,150,11,m,2,km,Research,Transect,November,,X,,,,,,36.95760787,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,3,0,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,November,,X,,,,,,22.96758316,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,0.666666667,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,96,66.294,m3,NA,50,m2,150,11,m,2,km,Research,Transect,February,,X,,,,,,45.93516204,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,3,0,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,February,,X,,,,,,24.98753374,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,1.083333333,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,96,66.294,m3,NA,50,m2,150,11,m,2,km,Research,Transect,July,,X,,,,,,47.95510977,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,3,0,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,July,,X,,,,,,26.03491352,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,1.416666667,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,96,66.294,m3,NA,50,m2,150,11,m,2,km,Research,Transect,November,,X,,,,,,49.97506177,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,3,0,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,November,,X,,,,,,25.96010169,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,1.666666667,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,96,66.294,m3,NA,50,m2,150,11,m,2,km,Research,Transect,February,,X,,,,,,51.99501235,number of species,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,3,0,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,February,,X,,,,,,30,number of species,,1
9,2015,"Consoli, Martino, et al",4/27/2023,Y,"Tyrrhenian Sea, Sicily",38.25,15,,Mediterranean ,Offshore,37,Established,Sand,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Metal ship,Experimental,4,24624,m3,NA,200,m2,1200,67.5,m,0.5,km,Accident,ROV,,,,,2737.864169,number of fish,,,3.779220936,number of species,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,67,Established,Sand,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Metal ship,Experimental,4,5265,m3,NA,200,m2,1200,63,m,1,km,Accident,ROV,,,,,1485.436559,number of fish,,,2.746753219,number of species,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,65,Established,Sand,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Metal ship,Experimental,4,6615,m3,NA,200,m2,1200,45,m,0.4,km,Accident,ROV,,,,,3830.09726,number of fish,,,4.480519686,number of species,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,69,Established,Sand,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Metal ship,Experimental,4,14291.2,m3,NA,200,m2,1200,70,m,7,km,Accident,ROV,,,,,1616.504752,number of fish,,,3.175324037,number of species,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,4,0,m3,NA,200,m2,1200,67.5,m,0.5,km,Natural,ROV,,,,,14.56288566,number of fish,,,3.233766188,number of species,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,4,0,m3,NA,200,m2,1200,63,m,1,km,Natural,ROV,,,,,14.56288566,number of fish,,,1.480519871,number of species,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,4,0,m3,NA,200,m2,1200,45,m,0.4,km,Natural,ROV,,,,,14.56288566,number of fish,,,1.987013062,number of species,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,4,0,m3,NA,200,m2,1200,70,m,7,km,Natural,ROV,,,,,14.56288566,number of fish,,,1.480519871,number of species,,2
10,2013,"Krone, Gutow, et al",4/28/2023,Y,"Southern North Sea, Germany",54,6.3,,North Atlantic,Offshore,60.25,Established,Sand,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Metal ship,Experimental,5,12306.56,m3,NA,1,m2,1,23.225,m,30,km,Accident,Transect,,,,,4.9,number of fish,,,16,number of species,,3
10,2013,,,Y,,54,6.3,,North Atlantic,Offshore,6,Established,Sand,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Platform piece,Research platform anchorage,Experimental,1,128,m3,NA,1,m2,1,28,m,30,km,Research,Underwater visual census,,,,,7.2,number of fish,,,14,number of species,,3
10,2013,,,Y,,54,6.3,,North Atlantic,Offshore,6,Established,Sand,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Platform piece,Research platform 15m junction,Experimental,1,44,m3,NA,1,m2,1,28,m,30,km,Research,Underwater visual census,,,,,0.8,number of fish,,,3,number of species,,3
10,2013,,,Y,,54,6.3,,North Atlantic,Offshore,6,Established,Sand,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Platform piece,Research platform 5m junction,Experimental,1,44,m3,NA,1,m2,1,28,m,30,km,Research,Underwater visual census,,,,,0.5,number of fish,,,3,number of species,,3
10,2013,,,Y,,54,6.3,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Research platofrm ground,Control,1,0,m3,NA,1,m2,1,32.4,m,30,km,Natural,Transect,,,,,6,number of fish,,,9,number of species,,3
10,2013,,,Y,,54,6.3,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Soft bottom,Control,1,0,m3,NA,1,m2,1,32.4,m,30,km,Natural,Video sampling,,,,,4.3,number of fish,,,11,number of species,,3
11,2010,"Boswell, Wells, et al",4/28/2023,Y,"Barataria Bay, Louisiana",29.112,-89.5325,,North Atlantic,Offshore,52,Established,Soft sediment,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,29,38400000,m3,NA,1,m2,1,16,m,11,km,Oil rig,Acoustic survey,,,,,0.16528926,number of fish,,,,,,1
11,2010,,,Y,,29.112,-89.5325,,North Atlantic,Offshore,NA,Established,Soft sediment,Control,Control,Control,Natural,Natural,Bare,Soft bottom,Control,1,0,m3,NA,1,m2,1,16,m,11,km,Natural,Acoustic survey,,,,,0.011570261,number of fish,,,,,,1
12,2009,"Langhammer, Wilhelmsson",4/28/2023,Y,"Lysekil, Sweeden",58.1185,11.2246,,North Atlantic,Offshore,0.1666,New,Sand/mud,Low rugosity,Low vertical relief,No openings,Concrete,Cylinder,Non-designed ,Wave power foundation,Experimental,21,148.44018,m3,NA,5,m2,5,25,m,2,km,Wave power,Underwater visual census,,,,,1.141666685,number of fish,,,8,number of species,,1
12,2009,,,Y,,58.1185,11.2246,,North Atlantic,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,21,0,m3,NA,5,m2,5,25,m,3,km,Natural,Underwater visual census,,,,,0.425000068,number of fish,,,3,number of species,,1
13,2009,"Coll, Abad, et al",4/29/2023,Y,"Mallorca and Formentera, Spain",39.5,2.5,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,,m3,NA,90,m2,90,30,m,9.5,km,Natural,Trap net,,,,,,,789.4,g,10,number of species,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,12,Established,Sand,Low rugosity,High vertical relief,With openings,Concrete,Octagon,Designed reefs,Cement block structure,Experimental,48,48000,m3,NA,90,m2,90,30,m,,km,Research,Trap net,,,,,,,1202.2,g,14,number of species,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,90,m2,90,30,m,18.5,km,Natural,Trap net,,,,,,,3438.7,g,25,number of species,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,90,m2,90,30,m,,km,Natural,Trap net,,,,,,,10412.2,g,30,number of species,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,12,Established,Sand,Low rugosity,High vertical relief,With openings,Concrete,Octagon,Designed reefs,Cement block structure,Experimental,48,48000,m3,NA,90,m2,90,30,m,1.8,km,Research,Trap net,,,,,,,9153.9,g,34,number of species,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Bare,Bare,Bare,Bare sand,Control,1,0,m3,NA,90,m2,90,30,m,,km,Natural,Trap net,,,,,,,4076.7,g,20,number of species,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,12,Established,Sand,Low rugosity,High vertical relief,With openings,Concrete,Octagon,Designed reefs,Cement block structure,Experimental,48,48000,m3,NA,90,m2,90,30,m,,km,Research,Trap net,,,,,,,4080.6,g,23,number of species,,2
14,2007,"Terashima, Sato, et al",4/29/2023,Y,"Yenne Tode, Senegal",14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,75,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,July,,X,,,,,,1,number of species,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,July,,X,,,,,,2,number of species,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,75,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,September,,X,,,,,,9,number of species,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,September,,X,,,,,,0,number of species,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,75,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,September,,X,,,,,,9,number of species,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,September,,X,,,,,,0,number of species,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,75,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,October,,X,,,,,,14,number of species,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,October,,X,,,,,,1,number of species,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,75,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,February,,X,,,,,,15,number of species,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,February,,X,,,,,,3,number of species,,1
