ID,Year,Authors,Date,Completion,Study site,Latitude,Longitude,Lat zone,Ocean Basin,Study environment,Age of reef,Age category,Substrate type,Rugosity,Vertical relief,Openings,Material type,Shape of reef,General Reef Type,Specific Reef Type,Experimental group,N,Size of reef,Size of reef units,Control pre or post AR,Size of plot ,Plot size units,Volume of plot,Depth,Depth units,Distance offshore,Distance offshore units,Purpose of reef,Method of data collection,Month,Season,Averageable,Duration,Fish Abundance,Abundance units,Abundance upper error,Abundance lower error,Abundance SE,Abundance SD,Abundance error type,Fish Biomass,Biomass units,Biomass upper error,Biomass lower error,Biomass SE,Biomass SD,Biomass error type,Fish Species Richness,Species Richness units,Species richness upper error,Species richness lower error,Species richness SE,Species richness SD,Species richness error type,Paper conclusion,Number of metrics
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,8,0,m3,NA,19.63495,m2,19.63495,15.5,m,1,km,Research,Underwater visual census,October,,X,,0.828025012,number of fish,1.29,0.37,0.163332823,0.057746874,SD,,,,,,0,,0.379471138,number of species,1.29,0.37,-0.321920566,-0.113816108,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,Low vertical relief,No openings,Concrete,Dome,Designed reefs,Roof tiles on concrete,Experimental,8,0.000950332,m3,NA,19.63495,m2,39.26991,15.5,m,1,km,Research,Underwater visual census,June,,X,,4.426749756,number of fish,13.55,7.95,3.225556057,1.14040628,SD,,,,,,0,,2.003110491,number of species,3.49,1.85,-0.525694827,-0.185861189,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,Low vertical relief,No openings,Concrete,Dome,Designed reefs,Roof tiles on concrete,Experimental,8,0.000950332,m3,NA,19.63495,m2,39.26991,15.5,m,1,km,Research,Underwater visual census,August,,X,,10.79617788,number of fish,16.24,11.26,1.924681769,0.680477765,SD,,,,,,0,,2.388802374,number of species,3.26,1.74,-0.308014874,-0.108899703,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,Low vertical relief,No openings,Concrete,Dome,Designed reefs,Roof tiles on concrete,Experimental,8,0.000950332,m3,NA,19.63495,m2,39.26991,15.5,m,1,km,Research,Underwater visual census,October,,X,,13.78980901,number of fish,6.37,2.63,-2.623298633,-0.927476126,SD,,,,,,0,,2.506998427,number of species,2.53,1.47,-0.008132284,-0.002875197,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,1m pole,Experimental,8,0.00950332,m3,NA,19.63495,m2,58.90486,15.5,m,1,km,Research,Underwater visual census,June,,X,,4.77707018,number of fish,11.2,4.46,2.270848615,0.802866228,SD,,,,,,0,,1.760497641,number of species,4.24,1.52,-0.876636466,-0.309937795,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,1m pole,Experimental,8,0.00950332,m3,NA,19.63495,m2,58.90486,15.5,m,1,km,Research,Underwater visual census,August,,X,,10.28662421,number of fish,22.53,15.97,4.328687023,1.530421974,SD,,,,,,0,,2.245723104,number of species,3.34,1.66,-0.386885307,-0.136784612,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,1m pole,Experimental,8,0.00950332,m3,NA,19.63495,m2,58.90486,15.5,m,1,km,Research,Underwater visual census,October,,X,,19.26751457,number of fish,13.21,7.29,-2.141654815,-0.757189321,SD,,,,,,0,,2.892690548,number of species,2.71,1.79,0.064590863,0.022836318,SD,,2
4,2006,"Wihelmsson, Yahya, Öhman",2/21/2023,Y,"Långholmen, Sweden",58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,3m pole,Experimental,8,0.02851,m3,NA,19.63495,m2,78.53982,15.5,m,1,km,Research,Underwater visual census,June,,X,,5.764330864,number of fish,16.97,8.29,3.961802317,1.400708642,SD,,,,,,0,,2.003110491,number of species,3.89,2.11,-0.667116184,-0.235861189,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,3m pole,Experimental,8,0.02851,m3,NA,19.63495,m2,78.53982,15.5,m,1,km,Research,Underwater visual census,August,,X,,12.61146479,number of fish,19.51,13.99,2.439000514,0.862316901,SD,,,,,,0,,2.506998427,number of species,3.64,1.86,-0.400576548,-0.141625197,SD,,2
4,2006,,,Y,,58.886036,110111237,,North Atlantic,Offshore,0,New,Sand/mud,Low rugosity,High vertical relief,No openings,PVC,Pole,Designed reefs,3m pole,Experimental,8,0.02851,m3,NA,19.63495,m2,78.53982,15.5,m,1,km,Research,Underwater visual census,October,,X,,16.78343893,number of fish,10.75,5.91,-2.133142789,-0.754179866,SD,,,,,,0,,2.749611278,number of species,3.26,1.74,-0.180449663,-0.06379859,SD,,2
5,2022,"Song, Wang et al",2/27/2023,N,"Yellow Sea, China",37.32,122.1,,North Pacific,Offshore,NA,Established,Silt/mud,High rugosity,High vertical relief,With openings,Concrete,Triangle and cube,Designed reefs,Concrete modules,Experimental,3,22,m3,NA,7.7,m2,3.773,25,m,1.5,km,Fishery management,Trap net,,,,,13.137,individuals/unit*day,14.1241,NA,0.9871,0.569902451,SE,981.707,kg/unit*day,1093.75,NA,112.043,64.68805621,SE,5.153,species/unit*day,5.3333,NA,0.1803,0.104096254,SE,"All three types tested enhanced diversity, and concrete reefs generall improve abundance and richness most",3
5,2022,,,N,,37.32,122.1,,North Pacific,Offshore,NA,Established,Silt/mud,High rugosity,Low vertical relief,No openings,Rock,Sphere,Rubble and rocks,Rock pile,Experimental,3,3.1,m3,NA,7.7,m2,3.773,25,m,1.5,km,Fishery management,Trap net,,,,,10.621,individuals/unit*day,11.825,NA,1.204,0.695129724,SE,650.915,kg/unit*day,717.0136,NA,66.0986,38.1620445,SE,4.54,species/unit*day,4.7,NA,0.16,0.092376043,SE,,3
5,2022,,,N,,37.32,122.1,,North Pacific,Offshore,NA,Established,Silt/mud,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Ship reef,Experimental,3,48,m3,NA,7.7,m2,3.773,25,m,1.5,km,Fishery management,Trap net,,,,,11.739,individuals/unit*day,12.9197,NA,1.1807,0.681677463,SE,1184.451,kg/unit*day,1336.8056,NA,152.3546,87.96196932,SE,4.571,species/unit*day,4.7667,NA,0.1957,0.112987448,SE,,3
5,2022,,,N,,37.32,122.1,,North Pacific,Offshore,NA,Established,Silt/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,7.7,m2,3.773,25,m,1.5,km,NA,Trap net,,,,,7.64,individuals/unit*day,8.867,NA,1.227,0.70840878,SE,320.122,kg/unit*day,364.5833,NA,44.4613,25.66974352,SE,3.436,species/unit*day,3.6333,NA,0.1973,0.113911208,SE,,3
6,2022,"Nguyen, Tran, et al",3/25/2023,Y,"Quang Nam, Vietnam",15.52,108.7,,North Pacific,Offshore,1,New,Sand/rock,Low rugosity,High vertical relief,With openings,Concrete,Cylinder,Designed reefs,Cylinder with holes,Experimental,100,"3,392.92",m3,Post AR,150,m2,7500,20,m,1,km,Restoration,Underwater visual census,NA,NA,,,0.7964912,number of fish,,,0.10347691,0.4007643,,NA,NA,,,,0,,6.733333,number of species,,,0.3711843,1.437591,,,2
6,2022,,,Y,,15.52,108.7,,North Pacific,Offshore,2,New,Sand/rock,Low rugosity,High vertical relief,With openings,Concrete,Cylinder,Designed reefs,Cylinder with holes,Experimental,100,"3,392.92",m3,Post AR,150,m2,7500,20,m,1,km,Restoration,Underwater visual census,NA,NA,,,1.6912281,number of fish,,,0.2051871,0.7946862,,NA,NA,,,,0,,10.8,number of species,,,0.6982972,2.704494,,,2
6,2022,,,Y,,15.52,108.7,,North Pacific,Offshore,NA,Established,Sand/rock,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,100,0,m3,Pre AR,150,m2,7500,20,m,1,km,Natural,Underwater visual census,NA,NA,,,0.2526316,number of fish,,,0.03746343,0.1450953,,NA,NA,,,,0,,3,number of species,,,0.3236694,1.253566,,,2
7,2021,,,Y,,9.7121,101.343,,North Pacific,Offshore,NA,Established,Silt-clay,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,5,0,m3,NA,NA,NA,160.3,70.48,m,150,km,Natural,Video sampling,NA,NA,,,0.33802935,number of fish,,,0.464787938,1.739077221,,2.545443448,kg,,,1.8181818,6.8030134,,2.79999889,number of species,,,0.9818198,3.6736335,,,3
7,2021,"Harvey, Watts, Saunders, et al",4/1/2023,Y,"Gulf of Thailand, Thailand",9.7121,101.343,,North Pacific,Offshore,11.625,Established,Silt-clay,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,8,14669.25,m3,NA,415.125,m2,160.3,68.9875,m,150,km,Oil rig,Video sampling,NA,NA,,,2.59557446,number of fish,,,0.484789133,1.042374245,,16.15583147,kg,,,5.3139503,11.425844,,2.80000079,number of species,,,0.2843535,0.6114056,,90% of the fish observed were reef fish even though the nearest reef is 100 km away,3
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,0.666666667,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,3,66.294,m3,NA,50,m2,150,11,m,2,km,Research,Transect,July,,X,,,,,,,0,,,,,,,0,,15.30055,number of species,15.9563,14.6995,0.65575,0.378597439,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,1.083333333,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,3,66.294,m3,NA,50,m2,150,11,m,2,km,Research,Transect,November,,X,,,,,,,0,,,,,,,0,,22.02186,number of species,26.12022,17.9235,4.09836,2.366189249,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,1.416666667,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,3,66.294,m3,NA,50,m2,150,11,m,2,km,Research,Transect,February,,X,,,,,,,0,,,,,,,0,,24.6448,number of species,26.44808,22.95082,1.80328,1.041124193,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,3,132.588,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,July,,X,,,,,,,0,,,,,,,0,,7.32241,number of species,9.07104,5.62841,1.74863,1.009572001,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,3,265.176,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,November,,X,,,,,,,0,,,,,,,0,,7.9235,number of species,9.94536,6.01093,2.02186,1.167321415,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,3,-265.176,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,February,,X,,,,,,,0,,,,,,,0,,13.27869,number of species,15.62842,10.76503,2.34973,1.356617248,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,6,0,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,July,,X,,,,,,,0,,,,,,,0,,11.03825,number of species,13.98907,7.97814,2.95082,1.20466722,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,6,0,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,November,,X,,,,,,,0,,,,,,,0,,10.3279,number of species,11.63934,9.01639,1.31144,0.535393138,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,NA,Established,Inter-reef sediments,Control,Control,Control,Natural,Natural,Bare,Sediment,Control,6,0,m3,NA,50,m2,150,11,m,2,km,Natural,Transect,February,,X,,,,,,,0,,,,,,,0,,12.6776,number of species,14.04372,11.42077,1.36612,0.557716155,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,1.666666667,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,6,66.294,m3,NA,50,m2,150,11,m,2,km,Research,Transect,July,,X,,,,,,,0,,,,,,,0,,16.01093,number of species,17.59563,14.0437,1.5847,0.646951066,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,2.666666667,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,6,198.882,m3,NA,50,m2,150,11,m,2,km,Research,Transect,November,,X,,,,,,,0,,,,,,,0,,19.3443,number of species,26.88525,11.74863,7.54095,3.078579946,SE,,1
8,2017,,,Y,,-38.1732,144.8731,,South Pacific,Offshore,3.666666667,New,Inter-reef sediments,High rugosity,Low vertical relief,With openings,Concrete,Dome,Designed reefs,Reef balls,Experimental,6,331.47,m3,NA,50,m2,150,11,m,2,km,Research,Transect,February,,X,,,,,,,0,,,,,,,0,,20.3279,number of species,25.08198,15.62842,4.75408,1.940845033,SE,,1
9,2015,"Consoli, Martino, et al",4/27/2023,Y,"Tyrrhenian Sea, Sicily",38.25,15,,Mediterranean ,Offshore,37,Established,Sand,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Metal ship,Experimental,4,24624,m3,NA,200,m2,1200,67.5,m,0.5,km,Accident,ROV,,,,,2737.864169,number of fish,3658.69565,1819.5654,920.831481,460.4157405,SE,,,,,,0,,3.779220936,number of species,3.4914,1.97845,-0.287820936,-0.143910468,SE,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,67,Established,Sand,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Metal ship,Experimental,4,5265,m3,NA,200,m2,1200,63,m,1,km,Accident,ROV,,,,,1485.436559,number of fish,4480.4349,2758.6956,2994.998341,1497.499171,SE,,,,,,0,,2.746753219,number of species,4.4353,3.10344,1.688546781,0.84427339,SE,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,65,Established,Sand,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Metal ship,Experimental,4,6615,m3,NA,200,m2,1200,45,m,0.4,km,Accident,ROV,,,,,3830.09726,number of fish,2064.1306,909.78287,-1765.96666,-882.98333,SE,,,,,,0,,4.480519686,number of species,3.76293,2.59913,-0.717589686,-0.358794843,SE,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,69,Established,Sand,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Metal ship,Experimental,4,14291.2,m3,NA,200,m2,1200,70,m,7,km,Accident,ROV,,,,,1616.504752,number of fish,2152.1742,1056.52199,535.669448,267.834724,SE,,,,,,0,,3.175324037,number of species,4.97845,3.96983,1.803125963,0.901562981,SE,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,4,0,m3,NA,200,m2,1200,67.5,m,0.5,km,Natural,ROV,,,,,14.56288566,number of fish,39.1309,0,24.56801434,12.28400717,SE,,,,,,0,,3.233766188,number of species,3.6983,2.75431,0.464533812,0.232266906,SE,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,4,0,m3,NA,200,m2,1200,63,m,1,km,Natural,ROV,,,,,14.56288566,number of fish,39.1306,0,24.56771434,12.28385717,SE,,,,,,0,,1.480519871,number of species,2.37931,1.56465,0.898790129,0.449395064,SE,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,4,0,m3,NA,200,m2,1200,45,m,0.4,km,Natural,ROV,,,,,14.56288566,number of fish,29.34812,0,14.78523434,7.39261717,SE,,,,,,0,,1.987013062,number of species,1.79743,1.18966,-0.189583062,-0.094791531,SE,,2
9,2015,,,Y,,38.25,15,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,4,0,m3,NA,200,m2,1200,70,m,7,km,Natural,ROV,,,,,14.56288566,number of fish,29.348,0,14.78511434,7.39255717,SE,,,,,,0,,1.480519871,number of species,1.78448,1.189655,0.303960129,0.151980064,SE,,2
10,2013,,,Y,,54,6.3,,North Atlantic,Offshore,6,Established,Sand,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Platform piece,Research platform anchorage,Experimental,6,128,m3,NA,1,m2,1,28,m,30,km,Research,Underwater visual census,,,,,7.2,number of fish,8.9,5.5,0.694022094,0.283333333,SD,,,,,,0,,14,number of species,NA,NA,,0,,,3
10,2013,,,Y,,54,6.3,,North Atlantic,Offshore,6,Established,Sand,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Platform piece,Research platform 15m junction,Experimental,6,44,m3,NA,1,m2,1,28,m,30,km,Research,Underwater visual census,,,,,0.8,number of fish,1.8,-0.2,0.40824829,0.166666667,SD,,,,,,0,,3,number of species,NA,NA,,0,,,3
10,2013,,,Y,,54,6.3,,North Atlantic,Offshore,6,Established,Sand,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Platform piece,Research platform 5m junction,Experimental,7,44,m3,NA,1,m2,1,28,m,30,km,Research,Underwater visual census,,,,,0.5,number of fish,1.3,-0.3,0.302371578,0.114285714,SD,,,,,,0,,3,number of species,NA,NA,,0,,,3
10,2013,,,Y,,54,6.3,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Research platform ground,Control,7,0,m3,NA,1,m2,1,32.4,m,30,km,Natural,Transect,,,,,6,number of fish,7.4,4.6,0.529150262,0.2,SD,,,,,,0,,9,number of species,NA,NA,,0,,,3
10,2013,,,Y,,54,6.3,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Soft bottom,Control,21,0,m3,NA,1,m2,1,32.4,m,30,km,Natural,Video sampling,,,,,4.3,number of fish,5.8,2.8,0.327326835,0.071428571,SD,,,,,,0,,11,number of species,NA,NA,,0,,,3
